gene_symbol,gene_symbol_official,gene_name,gene_description,gene_type,aliases,other_names,ensembl_gene_id,ensembl_transcript_ids,ensembl_protein_ids,uniprot_swissprot,uniprot_trembl,uniprot_entry_name,entrez_gene_id,refseq_mrna,refseq_protein,refseq_genomic,hgnc_id,omim_id,pharmgkb_id,string_id,pdb_ids,ec_number,interpro_domains,pfam_domains,prosite_domains,chromosome,start_position,end_position,strand,protein_length,subcellular_location,taxonomy_id,homologene_id,wikipedia_url,pathways
RET,RET,ret proto-oncogene,"This gene encodes a transmembrane receptor and member of the tyrosine protein kinase family of proteins. Binding of ligands such as GDNF (glial cell-line derived neurotrophic factor) and other related proteins to the encoded receptor stimulates receptor dimerization and activation of downstream signaling pathways that play a role in cell differentiation, growth, migration and survival. The encoded receptor is important in development of the nervous system, and the development of organs and tissues derived from the neural crest. This proto-oncogene can undergo oncogenic activation through both cytogenetic rearrangement and activating point mutations. Mutations in this gene are associated with Hirschsprung disease and central hypoventilation syndrome and have been identified in patients with renal agenesis. [provided by RefSeq, Sep 2017].",protein-coding,CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1,RET receptor tyrosine kinase|cadherin family member 12|cadherin-related family member 16|proto-oncogene c-Ret|proto-oncogene tyrosine-protein kinase receptor Ret,ENSG00000165731,ENST00000340058|ENST00000355710|ENST00000498820|ENST00000615310|ENST00000638465|ENST00000640619|ENST00000671844|ENST00000672389|ENST00000683007|ENST00000683278,ENSP00000344798|ENSP00000347942|ENSP00000419080|ENSP00000480088|ENSP00000491505|ENSP00000492728|ENSP00000500252|ENSP00000500541|ENSP00000507117|ENSP00000508223,P07949,A0A087WWB1|B4DGX8|A0AAQ5BH28|A0A804HIK7|A0A5F9ZHB7,RET_HUMAN,5979,NM_001355216.2|NM_001406743.1|NM_001406744.1|NM_001406759.1|NM_001406760.1|NM_001406761.1|NM_001406762.1|NM_001406763.1|NM_001406764.1|NM_001406765.1,NP_001342145.1|NP_001393672.1|NP_001393673.1|NP_001393688.1|NP_001393689.1|NP_001393690.1|NP_001393691.1|NP_001393692.1|NP_001393693.1|NP_001393694.1,NC_000010.11|NC_060934.1|NG_007489.1,9967,164761,PA34335,9606.ENSP00000347942,2IVS|2IVT|2IVU|2IVV|2X2K|2X2L|2X2M|2X2U|4CKI|4CKJ|4UX8|5AMN|5FM2|5FM3|6FEK|6GL7|6I82|6I83|6NE7|6NEC,2.7.10.1,IPR000719|IPR001245|IPR008266|IPR011009|IPR017441|IPR020635|IPR041163|IPR050122|IPR055162|IPR002126,PF07714|PF17756|PF22540|PF00028|PF17813|PF17812,PS50011|PS50268,10,43077026.0,43130351.0,1.0,1114,Cell membrane|Endosome membrane,9606,7517.0,RET proto-oncogene,kegg:hsa04020|kegg:hsa05200|kegg:hsa05216|kegg:hsa05223|kegg:hsa05230|pid:ajdiss_2pathway|pid:ret_pathway|wikipathways:WP2586|wikipathways:WP2855|wikipathways:WP4823|wikipathways:WP4830|wikipathways:WP5053
FLT3,FLT3,fms related receptor tyrosine kinase 3,"This gene encodes a class III receptor tyrosine kinase that regulates hematopoiesis. This receptor is activated by binding of the fms-related tyrosine kinase 3 ligand to the extracellular domain, which induces homodimer formation in the plasma membrane leading to autophosphorylation of the receptor. The activated receptor kinase subsequently phosphorylates and activates multiple cytoplasmic effector molecules in pathways involved in apoptosis, proliferation, and differentiation of hematopoietic cells in bone marrow. Mutations that result in the constitutive activation of this receptor result in acute myeloid leukemia and acute lymphoblastic leukemia. [provided by RefSeq, Jan 2015].",protein-coding,CD135|FLK-2|FLK2|STK1,CD135 antigen|FL cytokine receptor|fetal liver kinase 2|fms related tyrosine kinase 3|fms-like tyrosine kinase 3,ENSG00000122025,ENST00000241453|ENST00000380987|ENST00000469894|ENST00000864668,ENSP00000241453|ENSP00000370374|ENSP00000534727,P36888,E7ER61,FLT3_HUMAN,2322,NM_004119.3|NR_130706.2|XM_011535015.3|XM_011535018.3|XM_017020486.2|XM_017020488.2|XM_047430216.1|XM_054374312.1|XM_054374313.1|XM_054374314.1,NP_004110.2|XP_011533317.1|XP_011533320.1|XP_016875975.1|XP_016875977.1|XP_047286172.1|XP_054230287.1|XP_054230288.1|XP_054230289.1|XP_054230290.1,NC_000013.11|NC_060937.1|NG_007066.1,3765,136351,PA28181,9606.ENSP00000241453,1RJB|3QS7|3QS9|4RT7|4XUF|5X02|6IL3|6JQR|7QDP|7ZV9|8XB1,2.7.10.1,IPR000719|IPR001245|IPR001824|IPR008266|IPR011009|IPR013783|IPR017441|IPR020635|IPR050122|IPR007110,PF00047|PF07714,PS50011|PS50835,13,28003274.0,28100592.0,-1.0,993,Membrane|Endoplasmic reticulum lumen,9606,3040.0,CD135,kegg:hsa04010|kegg:hsa04014|kegg:hsa04151|kegg:hsa04640|kegg:hsa05200|reactome:R-HSA-109704|reactome:R-HSA-112399|reactome:R-HSA-1257604|reactome:R-HSA-1280215|reactome:R-HSA-1280215|wikipathways:WP3657|wikipathways:WP3658|wikipathways:WP4172|wikipathways:WP4223|wikipathways:WP4540
CDK4,CDK4,cyclin dependent kinase 4,"The protein encoded by this gene is a member of the Ser/Thr protein kinase family. This protein is highly similar to the gene products of S. cerevisiae cdc28 and S. pombe cdc2. It is a catalytic subunit of the protein kinase complex that is important for cell cycle G1 phase progression. The activity of this kinase is restricted to the G1-S phase, which is controlled by the regulatory subunits D-type cyclins and CDK inhibitor p16(INK4a). This kinase was shown to be responsible for the phosphorylation of retinoblastoma gene product (Rb). Mutations in this gene as well as in its related proteins including D-type cyclins, p16(INK4a) and Rb were all found to be associated with tumorigenesis of a variety of cancers. Multiple polyadenylation sites of this gene have been reported. [provided by RefSeq, Jul 2008].",protein-coding,CMM3|PSK-J3,cell division protein kinase 4|cyclin-dependent kinase 4,ENSG00000135446,ENST00000257904|ENST00000546489|ENST00000547281|ENST00000547853|ENST00000549606|ENST00000550419|ENST00000551706|ENST00000551800|ENST00000551888|ENST00000552254,ENSP00000257904|ENSP00000446763|ENSP00000447005|ENSP00000447274|ENSP00000447779|ENSP00000448098|ENSP00000448885|ENSP00000448963|ENSP00000449179|ENSP00000449391,P11802,F8VZZ0|Q96BE9|F8VYH9|F8VZ51|F8VYY1,CDK4_HUMAN,1019,NM_000075.4|NM_052984.1,NP_000066.1,NC_000012.12|NC_060936.1|NG_007484.2,1773,123829,PA102,9606.ENSP00000257904,2W96|2W99|2W9F|2W9Z|3G33|5FWK|5FWL|5FWM|5FWP|6P8E|6P8F|6P8G|6P8H|7SJ3,2.7.11.22,IPR000719|IPR008271|IPR011009|IPR017441|IPR050108,PF00069,PS50011,12,57747722.0,57756013.0,-1.0,303,Cytoplasm|Nucleus|Nucleus membrane,9606,55429.0,Cyclin-dependent kinase 4,biocarta:cellcyclepathway|biocarta:efppathway|biocarta:g1pathway|biocarta:p53pathway|biocarta:raccycdpathway|kegg:hsa04110|kegg:hsa04115|kegg:hsa04151|kegg:hsa04218|kegg:hsa04530|netpath:Pathway_BCR|netpath:Pathway_TGF_beta_Receptor|pid:atf2_pathway|pid:foxm1pathway|pid:myc_activpathway|pid:nfat_tfpathway|pid:rb_1pathway|reactome:R-HSA-1266738|reactome:R-HSA-1280218|reactome:R-HSA-1474165|reactome:R-HSA-1500620|reactome:R-HSA-162582|wikipathways:WP1530|wikipathways:WP179|wikipathways:WP2032|wikipathways:WP2261|wikipathways:WP2431
MAPK1,MAPK1,mitogen-activated protein kinase 1,"This gene encodes a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. The activation of this kinase requires its phosphorylation by upstream kinases. Upon activation, this kinase translocates to the nucleus of the stimulated cells, where it phosphorylates nuclear targets. One study also suggests that this protein acts as a transcriptional repressor independent of its kinase activity. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Two alternatively spliced transcript variants encoding the same protein, but differing in the UTRs, have been reported for this gene. [provided by RefSeq, Jan 2014].",protein-coding,ERK|ERK-2|ERK2|ERT1|MAPK2|NS13|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK,MAP kinase 1|MAP kinase 2|MAPK 2|extracellular signal-regulated kinase 2|mitogen-activated protein kinase 1,ENSG00000100030,ENST00000215832|ENST00000398822|ENST00000491588|ENST00000544786|ENST00000879585|ENST00000879586|ENST00000879587|ENST00000962868|ENST00000962869|ENST00000962870,ENSP00000215832|ENSP00000381803|ENSP00000440842|ENSP00000549644|ENSP00000549645|ENSP00000549646|ENSP00000632927|ENSP00000632928|ENSP00000632929|ENSP00000632930,P28482,Q499G7|Q1HBJ4,MK01_HUMAN,5594,NM_002745.5|NM_138957.3,NP_002736.3|NP_620407.1,NC_000022.11|NC_060946.1|NG_023054.2,6871,176948,PA30616,9606.ENSP00000215832,1PME|1TVO|1WZY|2OJG|2OJI|2OJJ|2Y9Q|3D42|3D44|3I5Z|3I60|3SA0|3TEI|3W55|4FMQ|4FUX|4FUY|4FV0|4FV1|4FV2,2.7.11.24,IPR000719|IPR003527|IPR008271|IPR008349|IPR011009|IPR017441|IPR050117,PF00069,PS50011,22,21755537.0,21867680.0,-1.0,360,"Cytoplasm, cytoskeleton, spindle|Nucleus|Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",9606,37670.0,MAPK1,biocarta:agrpathway|biocarta:at1rpathway|biocarta:barrestinsrcpathway|biocarta:barrmapkpathway|biocarta:biopeptidespathway|kegg:hsa04010|kegg:hsa04012|kegg:hsa04014|kegg:hsa04015|kegg:hsa04022|netpath:Pathway_Alpha6Beta4Integrin|netpath:Pathway_BCR|netpath:Pathway_BDNF|netpath:Pathway_CRH|netpath:Pathway_EGFR1|pid:alk1pathway|pid:angiopoietinreceptor_pathway|pid:anthraxpathway|pid:ar_nongenomic_pathway|pid:arf6downstreampathway|reactome:R-HSA-109581|reactome:R-HSA-109582|reactome:R-HSA-109606|reactome:R-HSA-111458|reactome:R-HSA-111461|smpdb:SMP00320|smpdb:SMP00321|smpdb:SMP00358|smpdb:SMP00391|wikipathways:WP127|wikipathways:WP1434|wikipathways:WP1449|wikipathways:WP1528|wikipathways:WP1539
SCN5A,SCN5A,sodium voltage-gated channel alpha subunit 5,"The protein encoded by this gene is an integral membrane protein and tetrodotoxin-resistant voltage-gated sodium channel subunit. This protein is found primarily in cardiac muscle and is responsible for the initial upstroke of the action potential in an electrocardiogram. Defects in this gene have been associated with long QT syndrome type 3 (LQT3), atrial fibrillation, cardiomyopathy, and Brugada syndrome 1, all autosomal dominant cardiac diseases. Alternative splicing results in several transcript variants encoding different isoforms. [provided by RefSeq, May 2022].",protein-coding,CDCD2|CMD1E|CMPD2|HB1|HB2|HBBD|HH1|ICCD|IVF|LQT3|Nav1.5|PFHB1|SSS1|VF1,"cardiac tetrodotoxin-insensitive voltage-dependent sodium channel alpha subunit|sodium channel protein cardiac muscle subunit alpha|sodium channel protein type 5 subunit alpha|sodium channel, voltage-gated, type V, alpha subunit|voltage-gated sodium channel subunit alpha Nav1.5",ENSG00000183873,ENST00000327956|ENST00000333535|ENST00000413689|ENST00000414099|ENST00000423572|ENST00000449557|ENST00000450102|ENST00000455624|ENST00000464652|ENST00000476683,ENSP00000328968|ENSP00000333674|ENSP00000398266|ENSP00000398962|ENSP00000399524|ENSP00000403355|ENSP00000410257|ENSP00000413996|ENSP00000519034|ENSP00000519035,Q14524,H9KVD2|K4DIA1|E9PG18|E9PHB6|Q86V90,SCN5A_HUMAN,6331,NM_000335.5|NM_001099404.2|NM_001099405.2|NM_001160160.2|NM_001160161.2|NM_001354701.2|NM_001407185.1|NM_001407186.1|NM_001407187.1|NM_198056.3,NP_000326.2|NP_001092874.1|NP_001092875.1|NP_001153632.1|NP_001153633.1|NP_001341630.1|NP_001394114.1|NP_001394115.1|NP_001394116.1|NP_932173.1,NC_000003.12|NC_060927.1|NG_008934.1,10593,600163,PA304,9606.ENSP00000328968,2KBI|2L53|4DCK|4DJC|4JQ0|4OVN|5DBR|6LQA|6MUD|7DTC|7L83|8VYJ|8VYK,,IPR001696|IPR005821|IPR008053|IPR010526|IPR024583|IPR027359|IPR043203|IPR044564,PF00520|PF06512|PF11933|PF24609,,3,38548057.0,38649743.0,-1.0,2016,"Cell membrane|Cytoplasm, perinuclear region|Cell membrane, sarcolemma, T-tubule",9606,22738.0,Nav1.5,reactome:R-HSA-1266738|reactome:R-HSA-373760|reactome:R-HSA-397014|reactome:R-HSA-422475|reactome:R-HSA-445095|smpdb:SMP00296|smpdb:SMP00297|smpdb:SMP00298|smpdb:SMP00299|smpdb:SMP00300|wikipathways:WP2406|wikipathways:WP706
SCN9A,SCN9A,sodium voltage-gated channel alpha subunit 9,"This gene encodes a voltage-gated sodium channel which plays a significant role in nociception signaling. Mutations in this gene have been associated with primary erythermalgia, channelopathy-associated insensitivity to pain, and paroxysmal extreme pain disorder. [provided by RefSeq, Aug 2009].",protein-coding,ETHA|FEB3B|GEFSP7|HSAN2D|NE-NA|NENA|Nav1.7|PN1|SFNP,hNE-Na|neuroendocrine sodium channel|peripheral sodium channel 1|sodium channel protein type 9 subunit alpha|sodium channel protein type IX subunit alpha,ENSG00000169432,ENST00000303354|ENST00000409672|ENST00000452182|ENST00000454569|ENST00000472119|ENST00000642356|ENST00000643319|ENST00000645283|ENST00000645815|ENST00000645907,ENSP00000304748|ENSP00000386306|ENSP00000393141|ENSP00000413212|ENSP00000494071|ENSP00000495601|ENSP00000495983|ENSP00000496086|ENSP00000499341|ENSP00000499663,Q15858,A0A590UJB2|A0A2R8YCX9|A0A0C4DG82|A0A2R8Y7G0|A0A590UK23,SCN9A_HUMAN,6335,NM_001365536.1|NM_002977.4|XM_011511616.4|XM_011511617.3|XM_011511618.3|XM_011511619.3|XM_017004669.2|XM_054343320.1|XM_054343321.1|XM_054343322.1,NP_001352465.1|NP_002968.2|XP_011509918.1|XP_011509919.1|XP_011509920.1|XP_011509921.1|XP_016860158.1|XP_054199295.1|XP_054199296.1|XP_054199297.1,NC_000002.12|NC_060926.1|NG_012798.1,10597,603415,PA35010,9606.ENSP00000386306,5EK0|6J8G|6J8H|6J8I|6J8J|6N4Q|6N4R|6NT3|6NT4|6VXO|6W6O|7K48|7W9K|7W9L|7W9M|7W9P|7W9T|7XM9|7XMF|7XMG,,IPR005821|IPR027359|IPR043203|IPR024583|IPR000048|IPR001696|IPR010526|IPR044564,PF00520|PF11933|PF06512|PF24609,,2,166195185.0,166376001.0,-1.0,1988,"Cell membrane|Cell projection, neuron projection|Cell projection, axon",9606,2237.0,Nav1.7,reactome:R-HSA-1266738|reactome:R-HSA-373760|reactome:R-HSA-397014|reactome:R-HSA-422475|reactome:R-HSA-445095
KCNH2,KCNH2,potassium voltage-gated channel subfamily H member 2,"This gene encodes a component of a voltage-activated potassium channel found in cardiac muscle, nerve cells, and microglia. Four copies of this protein interact with one copy of the KCNE2 protein to form a functional potassium channel. Mutations in this gene can cause long QT syndrome type 2 (LQT2). Transcript variants encoding distinct isoforms have been identified. [provided by RefSeq, May 2022].",protein-coding,ERG-1|ERG1|H-ERG|HERG|HERG1|Kv11.1|LQT2|SQT1,eag homolog|eag-related protein 1|ether-a-go-go-related gene potassium channel 1|ether-a-go-go-related potassium channel protein|ether-a-go-go-related protein 1,ENSG00000055118,ENST00000262186|ENST00000330883|ENST00000461280|ENST00000473610|ENST00000532957|ENST00000683359|ENST00000684116|ENST00000684241|ENST00000713700|ENST00000713701,ENSP00000262186|ENSP00000328531|ENSP00000519004|ENSP00000519013|ENSP00000615705|ENSP00000615706,Q12809,A0A090N7X5|A0A090N7W1|A0AAQ5BGQ9|Q15BH2|A0A090N8Q0,KCNH2_HUMAN,3757,NM_000238.4|NM_001204798.2|NM_001406753.1|NM_001406755.1|NM_001406756.1|NM_001406757.1|NM_172056.3|NM_172057.3|NR_176254.1|NR_176255.1,NP_000229.1|NP_001191727.1|NP_001393682.1|NP_001393684.1|NP_001393685.1|NP_001393686.1|NP_742053.1|NP_742054.1|XP_011514487.1|XP_016867684.1,NC_000007.14|NC_060931.1|NG_008916.1,6251,152427,PA212,9606.ENSP00000262186,1BYW|1UJL|2L0W|2L1M|2L4R|2LE7|2N7G|4HP9|4HQA|5VA1|5VA2|5VA3|6SYG|8IO4|8IO5|8IOB|8ZYN|8ZYO|8ZYP|8ZYQ,,IPR000014|IPR000595|IPR000700|IPR001610|IPR003938|IPR003967|IPR005821|IPR014710|IPR018490|IPR035965,PF00027|PF00520|PF13426,PS50042|PS50112|PS50113,7,150944064.0,150978394.0,-1.0,1159,Cell membrane,9606,201.0,HERG,reactome:R-HSA-112316|reactome:R-HSA-1296071|reactome:R-HSA-1296072|reactome:R-HSA-397014|reactome:R-HSA-5576890|smpdb:SMP00296|smpdb:SMP00297|smpdb:SMP00298|smpdb:SMP00299|smpdb:SMP00300|wikipathways:WP4754|wikipathways:WP706
CACNA1C,CACNA1C,calcium voltage-gated channel subunit alpha1 C,"This gene encodes an alpha-1 subunit of a voltage-dependent calcium channel. Calcium channels mediate the influx of calcium ions into the cell upon membrane polarization. The alpha-1 subunit consists of 24 transmembrane segments and forms the pore through which ions pass into the cell. The calcium channel consists of a complex of alpha-1, alpha-2/delta, beta, and gamma subunits in a 1:1:1:1 ratio. There are multiple isoforms of each of these proteins, either encoded by different genes or the result of alternative splicing of transcripts. The protein encoded by this gene binds to and is inhibited by dihydropyridine. Alternative splicing results in many transcript variants encoding different proteins. Some of the predicted proteins may not produce functional ion channel subunits. [provided by RefSeq, Oct 2012].",protein-coding,CACH2|CACN2|CACNA1C-IT2|CACNL1A1|CCHL1A1|CaV1.2|LQT8|NEDHLSS|TS|TS. LQT8,"CACNA1C intronic transcript 2|CACNA1C intronic transcript 2 (non-protein coding)|DHPR, alpha-1 subunit|calcium channel, cardic dihydropyridine-sensitive, alpha-1 subunit|calcium channel, voltage-dependent, L type, alpha 1C subunit",ENSG00000151067,ENST00000327702|ENST00000335762|ENST00000344100|ENST00000347598|ENST00000399591|ENST00000399595|ENST00000399597|ENST00000399601|ENST00000399603|ENST00000399606,ENSP00000266376|ENSP00000329877|ENSP00000336982|ENSP00000341092|ENSP00000382500|ENSP00000382504|ENSP00000382506|ENSP00000382510|ENSP00000382512|ENSP00000382515,Q13936,A0A804HIJ8|E9PDI6|A0A804HI37|A0A0A0MR67|A0A804HJB6,CAC1C_HUMAN,775,NM_000719.7|NM_001129827.2|NM_001129829.2|NM_001129830.3|NM_001129831.2|NM_001129832.2|NM_001129833.2|NM_001129834.2|NM_001129835.2|NM_001129836.2,NP_000710.5|NP_001123299.1|NP_001123301.1|NP_001123302.2|NP_001123303.1|NP_001123304.1|NP_001123305.1|NP_001123306.1|NP_001123307.1|NP_001123308.1,NC_000012.12|NC_060936.1|NG_008801.2|NW_018654718.1,1390,114205,PA83,9606.ENSP00000266376,1T0J|2BE6|2F3Y|2F3Z|2LQC|3G43|3OXQ|5V2P|5V2Q|6C0A|6DAD|6DAE|6DAF|6U39|6U3A|6U3B|6U3D|7L8V|8EOG|8EOI,,IPR005446|IPR005451|IPR005821|IPR027359|IPR050599|IPR002077|IPR014873|IPR031649|IPR031688,PF00520|PF08763|PF16885|PF16905,,12,1970772.0,2697950.0,1.0,2221,"Cell membrane|Cell membrane, sarcolemma|Perikaryon",9606,55484.0,Cav1.2,kegg:hsa04010|kegg:hsa04020|kegg:hsa04022|kegg:hsa04024|kegg:hsa04260|reactome:R-HSA-1266738|reactome:R-HSA-1430728|reactome:R-HSA-1430728|reactome:R-HSA-163685|reactome:R-HSA-163685|smpdb:SMP00296|smpdb:SMP00297|smpdb:SMP00298|smpdb:SMP00299|smpdb:SMP00300|wikipathways:WP1603|wikipathways:WP2059|wikipathways:WP2118|wikipathways:WP382|wikipathways:WP4539
TRPV1,TRPV1,transient receptor potential cation channel subfamily V member 1,"Capsaicin, the main pungent ingredient in hot chili peppers, elicits a sensation of burning pain by selectively activating sensory neurons that convey information about noxious stimuli to the central nervous system. The protein encoded by this gene is a receptor for capsaicin and is a non-selective cation channel that is structurally related to members of the TRP family of ion channels. This receptor is also activated by increases in temperature in the noxious range, suggesting that it functions as a transducer of painful thermal stimuli in vivo. Four transcript variants encoding the same protein, but with different 5' UTR sequence, have been described for this gene. [provided by RefSeq, Jul 2008].",protein-coding,VR1,OTRPC1|capsaicin receptor|osm-9-like TRP channel 1|transient receptor potential cation channel subfamily V member 1|transient receptor potential vanilloid 1a,ENSG00000196689,ENST00000310522|ENST00000399756|ENST00000399759|ENST00000425167|ENST00000570742|ENST00000571088|ENST00000572705|ENST00000574085|ENST00000576351|ENST00000650505,ENSP00000311692|ENSP00000382659|ENSP00000382661|ENSP00000409627|ENSP00000459042|ENSP00000459962|ENSP00000461007|ENSP00000497337|ENSP00000561231|ENSP00000636640,Q8NER1,I3L1R6|E7EQ78|A0A3B3ISI9|E7ESJ2,TRPV1_HUMAN,7442,NM_018727.5|NM_080704.4|NM_080705.4|NM_080706.3,NP_061197.4|NP_542435.2|NP_542436.2|NP_542437.2,NC_000017.11|NC_060941.1|NG_029716.2,12716,602076,PA37329,9606.ENSP00000459962,6L93|8GF8|8GF9|8GFA|8JQR|8X94|8YCP,,IPR002110|IPR005821|IPR008347|IPR024862|IPR036770,PF00023|PF00520|PF12796,PS50088|PS50297,17,3565444.0,3609411.0,-1.0,839,"Postsynaptic cell membrane|Cell projection, dendritic spine membrane|Cell membrane",9606,12920.0,TRPV1,kegg:hsa04080|kegg:hsa04750|pid:mapktrkpathway|pid:pi3kplctrkpathway|reactome:R-HSA-2672351|reactome:R-HSA-3295583|reactome:R-HSA-382551|reactome:R-HSA-983712|wikipathways:WP3947|wikipathways:WP4721
KCNQ2,KCNQ2,potassium voltage-gated channel subfamily Q member 2,"The M channel is a slowly activating and deactivating potassium channel that plays a critical role in the regulation of neuronal excitability.  The M channel is formed by the association of the protein encoded by this gene and a related protein encoded by the KCNQ3 gene, both integral membrane proteins. M channel currents are inhibited by M1 muscarinic acetylcholine receptors and activated by retigabine, a novel anti-convulsant drug. Defects in this gene are a cause of benign familial neonatal convulsions type 1 (BFNC), also known as epilepsy, benign neonatal type 1 (EBN1). At least five transcript variants encoding five different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].",protein-coding,BFNC|DEE7|EBN|EBN1|ENB1|HNSPC|KCNA11|KV7.2,"neuroblastoma-specific potassium channel subunit alpha KvLQT2|potassium channel, voltage gated KQT-like subfamily Q, member 2|potassium voltage-gated channel subfamily KQT member 2|voltage-gated potassium channel subunit Kv7.2",ENSG00000281151,ENST00000625248|ENST00000625847|ENST00000626100|ENST00000626723|ENST00000626962|ENST00000627088|ENST00000627416|ENST00000627948|ENST00000628544|ENST00000628732,ENSP00000485756|ENSP00000485832|ENSP00000485872|ENSP00000486010|ENSP00000486451|ENSP00000486464|ENSP00000486557|ENSP00000486636|ENSP00000486949|ENSP00000487078,O43526,A0A9L9PXL0|Q53Y30|A0A0D9SGG3|A0A0D9SEV1|A0A0D9SGD4,KCNQ2_HUMAN,3785,NM_001382235.1|NM_001439003.1|NM_001439004.1|NM_004518.6|NM_172106.3|NM_172107.4|NM_172108.5|NM_172109.3|XM_011528811.3|XM_017027841.3,NP_001369164.1|NP_001425932.1|NP_001425933.1|NP_004509.2|NP_742104.1|NP_742105.1|NP_742106.1|NP_742107.1|XP_011527113.1|XP_016883330.1,NC_000020.11|NC_060944.1|NG_009004.2|NT_187625.1,6296,602235,PA30074,9606.ENSP00000352035,5J03|6FEG|6FEH|7CR0|7CR1|7CR2|7CR3|7CR4|7CR7|8IJK|8IZY|8J00|8J01|8J02|8J03|8J04|8J05|8W4U|8X43|8XO1,,IPR003937|IPR003947|IPR005821|IPR013821|IPR020969|IPR027359,PF00520|PF03520|PF11956|PF16642,,20,63400208.0,63472677.0,-1.0,872,Cell membrane,9606,26174.0,KvLQT2,reactome:R-HSA-112316|reactome:R-HSA-1266738|reactome:R-HSA-1296071|reactome:R-HSA-1296072|reactome:R-HSA-373760|wikipathways:WP4148|wikipathways:WP4698
GABRA1,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,"This gene encodes a gamma-aminobutyric acid (GABA) receptor. GABA is the major inhibitory neurotransmitter in the mammalian brain where it acts at GABA-A receptors, which are ligand-gated chloride channels. Chloride conductance of these channels can be modulated by agents such as benzodiazepines that bind to the GABA-A receptor. GABA-A receptors are pentameric, consisting of proteins from several subunit classes: alpha, beta, gamma, delta and rho. Mutations in this gene cause juvenile myoclonic epilepsy and childhood absence epilepsy type 4. Multiple transcript variants encoding the same protein have been identified for this gene. [provided by RefSeq, Jul 2008].",protein-coding,DEE19|ECA4|EIEE19|EJM|EJM5,"GABA(A) receptor subunit alpha-1|GABA(A) receptor, alpha 1|GABAAR subunit alpha-1|gamma-aminobutyric acid (GABA) A receptor, alpha 1|gamma-aminobutyric acid receptor subunit alpha-1",ENSG00000022355,ENST00000023897|ENST00000393943|ENST00000428797|ENST00000437025|ENST00000519542|ENST00000519621|ENST00000521339|ENST00000522651|ENST00000634335|ENST00000635096,ENSP00000023897|ENSP00000377517|ENSP00000393097|ENSP00000415441|ENSP00000430435|ENSP00000430507|ENSP00000430895|ENSP00000489033|ENSP00000489434|ENSP00000489738,P14867,A0A0U1RRB2|A8K177|A0A1B0GV38|A0A1B0GU82|A0A0U1RQJ3,GBRA1_HUMAN,2554,NM_000806.5|NM_001127643.2|NM_001127644.2|NM_001127645.2|NM_001127646.1|NM_001127647.1|NM_001127648.2,NP_000797.2|NP_001121115.1|NP_001121116.1|NP_001121117.1|NP_001121120.1,NC_000005.10|NC_060929.1|NG_011548.1,4075,137160,PA28489,9606.ENSP00000393097,6CDU|6D1S|6D6T|6D6U|6HUG|6HUJ|6HUK|6HUO|6HUP|6I53|6X3S|6X3T|6X3U|6X3V|6X3W|6X3X|6X3Z|6X40|7PBD|7PBZ,,IPR001390|IPR005431|IPR006028|IPR006029|IPR006201|IPR006202|IPR018000|IPR036719|IPR036734|IPR038050,PF02931|PF02932,,5,161847063.0,161899981.0,1.0,456,Postsynaptic cell membrane|Cell membrane|Cytoplasmic vesicle membrane,9606,629.0,Gamma-aminobutyric acid receptor subunit alpha-1,biocarta:flumazenilpathway|biocarta:gabapathway|kegg:hsa04080|kegg:hsa04723|kegg:hsa04727|kegg:hsa04742|kegg:hsa05032|reactome:R-HSA-112314|reactome:R-HSA-112314|reactome:R-HSA-112315|reactome:R-HSA-112315|reactome:R-HSA-112316|wikipathways:WP3947|wikipathways:WP4159|wikipathways:WP4549|wikipathways:WP4829|wikipathways:WP706
GRIN1,GPRIN1,G protein regulated inducer of neurite outgrowth 1,"Predicted to enable phosphoprotein binding activity. Predicted to be involved in neuron projection development. Predicted to be located in growth cone. Predicted to be active in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",protein-coding,GRIN1,G protein-regulated inducer of neurite outgrowth 1,ENSG00000169258,ENST00000303991|ENST00000926001|ENST00000926002,ENSP00000305839|ENSP00000596060|ENSP00000596061,Q7Z2K8,,NMDZ1_HUMAN,114787,NM_052899.3,NP_443131.2,NC_000005.10|NC_060929.1,24835,611239,PA162390183,9606.ENSP00000360608,2HQW|2NR1|3BYA|5H8F|5H8H|5H8N|5H8Q|5I2K|5I2N|5KCJ|5KDT|5TP9|5TPA|6IRA|6IRF|6IRG|6IRH|7EOQ|7EOR|7EOS,,IPR026646|IPR032745,PF15235,,5,176595802.0,176610177.0,-1.0,938,Cell membrane|Postsynaptic cell membrane|Postsynaptic density membrane,9606,8072.0,,reactome:R-HSA-212436|reactome:R-HSA-73857|reactome:R-HSA-74160|reactome:R-HSA-8986944|reactome:R-HSA-9022699
